timestamp_utc,device_model,os_build,profile,target_service,destination_ip,destination_domain,asn,protocol,port,payload_bytes,description
2026-09-15T00:00:12Z,Pixel 8,UD1A.230804.019,Stock Default,Play Services,142.250.190.46,play.googleapis.com,15169,TLSv1.3,443,1420,Periodic device license sync & security metadata checkin
2026-09-15T00:00:45Z,Pixel 8,UD1A.230804.019,Stock Default,Location Services,172.217.16.206,checkin.gstatic.com,15169,TLSv1.3,443,890,Ambient Wi-Fi BSSID scan beacon upload
2026-09-15T00:01:10Z,Pixel 8,UD1A.230804.019,Stock Default,Device Config,142.250.72.202,device-provisioning.googleapis.com,15169,TLSv1.3,443,2150,Carrier configuration & provisioning state poll
2026-09-15T00:02:05Z,Pixel 8,UD1A.230804.019,Stock Default,Google Search,216.58.214.206,suggestqueries.google.com,15169,TLSv1.3,443,620,Search widget background trending keyword prefetch
2026-09-15T00:02:40Z,Pixel 8,UD1A.230804.019,Stock Default,Cloud Messaging,108.177.122.188,mtalk.google.com,15169,TLSv1.3,5228,FCM persistent socket heartbeat keepalive
2026-09-15T00:03:15Z,Pixel 8,UD1A.230804.019,Stock Default,Photos Backup,142.250.185.202,photosdata-pa.googleapis.com,15169,TLSv1.3,443,3400,Library sync token check & ML face index delta poll
2026-09-15T00:04:00Z,Pixel 8,UD1A.230804.019,Stock Default,Telemetry,142.250.64.110,telemetry.google.com,15169,TLSv1.3,443,1840,Crashlytics & app usage duration reporting
2026-09-15T00:00:15Z,Pixel 8,UD1A.230804.019,Stock Privacy-Off,Play Services,142.250.190.46,play.googleapis.com,15169,TLSv1.3,443,1420,Device checkin with location toggle disabled
2026-09-15T00:01:20Z,Pixel 8,UD1A.230804.019,Stock Privacy-Off,Device Config,142.250.72.202,device-provisioning.googleapis.com,15169,TLSv1.3,443,2150,Hardware serial hash & Android ID heartbeat
2026-09-15T00:02:45Z,Pixel 8,UD1A.230804.019,Stock Privacy-Off,Cloud Messaging,108.177.122.188,mtalk.google.com,15169,TLSv1.3,5228,FCM socket heartbeat (push notification listener)
2026-09-15T00:00:00Z,Pixel 8,GrapheneOS-20260901,Sandboxed Play,Cloud Messaging,108.177.122.188,mtalk.google.com,15169,TLSv1.3,5228,480,Explicit unprivileged app push notification listener only
2026-09-15T00:00:00Z,Pixel 8,GrapheneOS-20260901,Pure No-Google,None,0.0.0.0,none,0,NONE,0,0,Zero outbound Alphabet connections over 72-hour test window
